5:18 | (Member (1 month)) Ekusupuroshon: Topic:_away:
5:19 | (Member (1 month)) Raziel: If there's no topic you can't derail *big brain*
5:19 | (Member (1 month)) Zeng: topic :_away:
5:20 | (New member) No Body: keeping on track I see
5:21 | (Member (1 month)) Mister Eko: s-sugoi...
5:24 | coba cobra: good luck
5:28 | (Member (1 month)) The Pope: Concerta stream IKZ IKZ IKZ
5:30 | (Member (1 month)) Transcendental_ColonThree: DERAIL :_away:
5:31 | (Member (1 month)) OverMagnet: Impossible!
5:31 | Sheep: sneaky tweet
5:34 | (Member (1 month)) Shippo: euro strong
5:38 | (New member) Yamoyashi: lazy:_bea::_bea:
5:39 | madvideogamer: is today marriage partner powerpoint
5:41 | (Member (1 month)) Ekusupuroshon: 20 minutes?
5:42 | Woop Woop: !
5:43 | Johnny Average: Speedrun stream
5:43 | (New member) Joestar: Hello bea!
5:45 | Andrew Ryan: yab
5:45 | (Member (1 month)) Moeniki: ADHD bea...
5:45 | (New member) Ark K.: im sleepy
5:46 | (Member (1 month)) Einaer: kek
5:46 | (Member (1 month)) Steven Frati: :_pain::_pain::_pain:
5:51 | (New member) WizJR W: RTA stream
5:52 | stuffed idiot: bea...
5:55 | (Member (1 month)) Cave Johnson: I'll give her 10 min
5:56 | (Member (1 month)) Robbie TR: All Dad’s at two clover
6:02 | franklinNOTurtle: RTA time
6:03 | (New member) Yamoyashi: :_pain::_pain:
6:04 | pawkit: beatani gets adbucted by UFOs 👽
6:06 | (Member (1 month)) Tachi: :_pain:
6:09 | Blank: So we just have to derail beatani got it
6:10 | (Member (1 month)) loveletter: cute? funny??
6:10 | (New member) CLOSJ9: Lel 
6:12 | (New member) RussianAnimeBot: i wanna punish beatani
6:17 | (New member) No Body: this gon b gud:_sprdo:
6:20 | (Member (1 month)) OverMagnet: :_yab::_kita:
6:21 | (Member (1 month)) Ekusupuroshon: Uooooooh
6:21 | (Member (1 month)) The Flesh Is Weak: slurp sounds are very cute:_sprdo:
6:26 | (Member (1 month)) Transcendental_ColonThree: Punishment every 20 seconds? ok
6:27 | (Member (1 month)) anonEDM: H batsugame let's goooooooo
6:27 | (Member (1 month)) Steven Frati: This is dangerous power exchange!
6:28 | (Member (1 month)) ThatVidyaGuy: This will be very fun
6:30 | (New member) WizJR W: Gao Gao
6:30 | Andrew Ryan: 外れるように
6:32 | (Member (1 month)) Cartagra Chi: shoot the cutest dad
6:32 | (New member) Suukotto Funsha: I give it 15 mins
6:33 | (Member (1 month)) Steven Frati: The dads couldn't be trusted.
6:33 | (Member (1 month)) Moeniki: sweet?
6:33 | (New member) Yamoyashi: can't wait:_kita::_kita:
6:35 | (Member (1 month)) Rye Mountain: I want something cringe
6:40 | Sheep: I should have risponded to the tweet, rip
6:42 | (Member (1 month)) Tianfang's Adventures: We will make the kuma bao 
6:42 | (Member (1 month)) Einaer: Did you get enough punishment lines for this?
6:45 | (Member (1 month)) Tianfang's Adventures: gao*
6:49 | (Member (1 month)) Ekusupuroshon: PANISHED KUMA
6:51 | (Member (1 month)) Mister Eko: Good start
6:53 | (New member) No Body: slurping ramen live on stream ikz!
6:53 | (Member (1 month)) Raziel: It can't be helped
6:55 | (Member (1 month)) Mew: Bill gates!!
6:58 | (New member) Pine: she CRAVES punishment
7:03 | Blank: No PowerPoint and she can’t derail?
7:09 | (Member (1 month)) Margrave: Do that stupid "nico nico" thing. :_pain:
7:10 | (New member) Vitz: It's gonna be a speedrun stream for sure
7:11 | (New member) Yamoyashi: PPT:_away:
7:12 | (Member (1 month)) The Pope: TL note: Shouganai
7:14 | (New member) Gummy: Welcome to For My Family!
7:14 | kurokamitenshi: Isnt there a batsu game site with lines to say for punishment games?
7:22 | (Member (1 month)) Moeniki: ドM来た
7:26 | (Member (1 month)) Fake Name: I'm too shy to respond to the tweet
7:36 | (New member) Ark K.: :_listener:
7:45 | (New member) Yamoyashi: New dad:_kita:
