-1:57:08 | SpaceTalon: YYYYYAAAAAAAAAAAAAHHHHHHHHHHHHHH
4:20 | (New member) BasedBug: Oji-sans eternally btfo
4:20 | No Body: oh no its the 25th
4:21 | (New member) Ark K.: :_dayo::_oha:
4:22 | Alaor B: hey hey hey, ojisan AWAY
4:24 | VerticalCloud: listener is in all of us
4:26 | (New member) anonEDM: 👀
4:28 | (New member) Tachi: :_oha::_dayo:
4:28 | (New member) Kaiser Kebab: Okay
4:29 | Shaddox: cute and funny bear
4:29 | Sheep: okey
4:31 | (New member) ユーネ: おk:_dayo:
4:32 | (New member) Margrave: Dumped listener chan already?
4:34 | Arcus crundelic: ok!
4:35 | (New member) Verijero: only (you)
4:36 | (New member) Tianfang's Adventures: ok
4:37 | (New member) Zia: I'll try
4:38 | (New member) LassesAffar: konkani!
4:41 | (New member) david johnston: only beatani and no one else 
4:42 | (New member) 77Yuja_: y-yes
4:43 | (New member) sleepypwns: :_oha::_dayo:
4:44 | GBSword: only look at cute and funny bear:shelterin:
4:44 | (New member) Canna: 👁👄👁
4:51 | (New member) Matthew: :_yah:
4:55 | VerticalCloud: yes
4:57 | (New member) Margrave: Hai
4:59 | (New member) BasedBug: no-jisans..
5:00 | (New member) Verijero: ogey
5:01 | (New member) Rye Mountain: :_yah:
5:01 | (New member) Ark K.: csn you repeat that?
5:01 | (New member) Stray Wolf: 👀
5:03 | (New member) Suukotto Funsha: yes
5:06 | (New member) Moeniki: kanikanikani
5:08 | (New member) Tianfang's Adventures: ehhh
5:08 | stuffed idiot: UOOOHHHH
